tss_name	tss_strand	tss_position	prom_expression	active	left	right	operon	strand
TSS_17505_storz	-	4476458	0.69904593061549	inactive	4475330	4476334	argI	-
TSS_4901_storz_regulondb	+	1262898	2.34460627345627	active	1262937	1266150	hemA-prfA-prmC	+
TSS_3197_storz	-	832239	0.667086703805302	inactive	831691	832173	ybiA	-
TSS_2185_storz	+	571313	0.696100923586699	inactive	571689	573093	ybcN-ninE-ybcO-rusA-ylcG	+
TSS_8909_regulondb	+	2354712	0.594646019889282	inactive	2354926	2356023	yfaD-ypaA	+
TSS_7282_regulondb	+	1902529	0.631047862443824	inactive	1902825	1903283	yobD	+
TSS_1905_storz	-	479338	0.703071741504171	inactive	478591	479142	maa	-
TSS_5781_storz	+	1489728	0.64723563596789	inactive	1490143	1490198	sokB	+
TSS_2132_regulondb	-	556114	0.71184726964448	inactive	555255	555776	ybcI	-
TSS_5528_storz	-	1410184	1.24706119277488	inactive	1409037	1409972	ttcA	-
TSS_7619_storz	+	1985826	0.712606395871362	inactive	1986246	1986569	yecR	+
TSS_4680_regulondb	+	1208750	0.618437366784749	inactive	1208908	1209462	pinE	+
TSS_13324_storz	+	3453124	0.543333114627308	inactive	3453600	3464242	gspCDEFGHIJKLMO	+
TSS_2661_storz	-	692916	0.628939752028481	inactive	688566	692640	ybeZYX-lnt	-
TSS_15900_regulondb	+	4077585	0.772474676191864	inactive	4077774	4077992	yiiF	+
TSS_1036_regulondb	-	236041	0.754348591188162	inactive	235535	236002	rnhA	-
TSS_11503_regulondb	+	3053509	1.52618328144225	inactive	3053634	3053963	zapA	+
TSS_11503_regulondb	+	3053509	1.52618328144225	inactive	3054005	3054811	ssrS-fau	+
TSS_3003_storz_wanner	+	779735	74.1834884038038	active	779777	780141	lysT-valT-lysW	+
TSS_16341_regulondb	+	4176414	13.4479509521177	active	4176470	4187596	rplKAJL-rpoBC	+
TSS_5391_regulondb	+	1368209	1.74927656787005	active	1368240	1379926	ycjMNOPQRSTUV-ymjB	+
TSS_17937_storz	+	4589331	0.534360735087536	inactive	4589680	4591335	tsr	+
TSS_1650_storz_regulondb	+	418643	2.52878387734756	active	418815	421583	brnQ-proY	+
TSS_4094_regulondb	-	1055405	0.766325133135233	inactive	1052657	1055401	torS	-
TSS_13802_storz	-	3559947	0.767953478878242	inactive	3557870	3559846	glpEGR	-
TSS_11987_regulondb	-	3167309	0.596387852546874	inactive	3166771	3167253	ygiV	-
TSS_5909_regulondb	+	1518120	0.644367797756453	inactive	1518286	1518951	mcbR	+
TSS_5948_regulondb	+	1531054	0.869886897180803	inactive	1531076	1531309	pptA	+
TSS_6701_regulondb	+	1745092	0.536876866892962	inactive	1745155	1746759	ydhS	+
TSS_10830_storz	+	2874129	0.681299749383762	inactive	2874603	2875640	iap	+
TSS_3526_storz	+	922271	1.35609217881912	inactive	922487	924763	clpA	+
TSS_8264_storz_wanner_regulondb	+	2165138	2.5729481426538	active	2165138	2165224	cyaR	+
TSS_1495_storz	-	379427	0.601912858525774	inactive	376759	379105	frmRAB	-
TSS_1157_regulondb	+	269450	0.613902404221389	inactive	269466	271479	insN-1I-1O-1	+
TSS_8478_storz	+	2229688	0.559569092758658	inactive	2229866	2230750	cdd	+
TSS_6833_storz	+	1785165	0.613902404221389	inactive	1785469	1786302	ppsR	+
TSS_4921_storz	+	1268780	0.613902404221389	inactive	1269081	1269146	rdlB	+
TSS_5227_storz	+	1324724	2.53413737250789	active	1324876	1325751	rluB	+
TSS_7971_wanner	-	2077697	0.602898756031613	inactive	2077056	2077385	yeeX	-
TSS_14568_storz	-	3754687	0.601418254533767	inactive	3752996	3754534	aldB	-
TSS_16029_regulondb	-	4110335	0.704031154609475	inactive	4109638	4110237	yiiQ	-
TSS_2158_regulondb	-	563830	0.704988485586133	inactive	563071	563703	fimZ	-
TSS_11195_regulondb	+	2967636	0.786634389608843	inactive	2967684	2968373	mutH	+
TSS_15676_regulondb	+	4022832	0.765227912923647	inactive	4023011	4024504	ubiD	+
TSS_15821_wanner	-	4056242	0.762778844110654	inactive	4051892	4056057	glnALG	-
TSS_15563_storz	-	4002248	0.872142238512907	inactive	4001311	4002201	rarD	-
TSS_14893_storz	-	3840443	0.747546147343122	inactive	3839973	3840425	yicN	-
TSS_8331_storz	+	2183561	0.733075966466394	inactive	2183939	2185320	rcnAB	+
TSS_715_regulondb	+	174930	0.885411742684199	inactive	175107	176528	clcA	+
TSS_1883_storz_regulondb	+	475646	28.758745866369	active	475672	475785	ffs	+
TSS_1883_storz_regulondb	+	475646	28.758745866369	active	475896	476249	ybaA	+
TSS_18007_storz	+	4605443	0.569887811462288	inactive	4605826	4607346	holD-rimI-yjjG	+
TSS_5559_regulondb	+	1418367	0.488592616118065	inactive	1418389	1421668	ydaSTUVW-rzpR	+
TSS_604_regulondb	+	145053	0.823671574783747	inactive	145081	146310	yadE	+
TSS_13219_regulondb	-	3440540	16.8718099933189	active	3437638	3440493	rpsMKD-rpoA-rplQ	-
TSS_16459_storz	+	4197149	0.613902404221389	inactive	4197527	4198117	yjaG	+
TSS_18096_storz	-	4632004	0.631274956339486	inactive	4631256	4631768	yjjX	-
TSS_1884_regulondb	+	475672	29.5064390669587	active	475672	475785	ffs	+
TSS_1884_regulondb	+	475672	29.5064390669587	active	475896	476249	ybaA	+
TSS_7734_wanner	-	2023333	8.50755679889598	active	2022659	2022847	dsrB	-
TSS_9251_regulondb	+	2446458	0.752087992531352	inactive	2446628	2447179	smrB	+
TSS_17082_storz_regulondb	-	4373723	1.2685781757638	inactive	4372652	4373680	epmB	-
TSS_13888_regulondb	-	3578882	0.719208584785227	inactive	3577791	3578828	yhhX	-
TSS_5758_storz_wanner	+	1485192	1.16618437858004	inactive	1485259	1486059	ydcF	+
TSS_5556_regulondb	+	1418194	0.592027422380919	inactive	1418389	1421668	ydaSTUVW-rzpR	+
TSS_9936_storz	-	2641261	0.613902404221389	inactive	2639853	2640866	rodZ	-
TSS_9081_storz	-	2407801	0.652415172885602	inactive	2405583	2407483	alaA-yfbR	-
TSS_15678_wanner	-	4022895	1.60757612233952	inactive	4022356	4022844	rfaH	-
TSS_17492_storz	+	4472399	0.715835822523949	inactive	4472885	4473337	tabA	+
TSS_17055_regulondb	+	4368671	1.87552761935348	active	4368711	4370694	groSL	+
TSS_11122_storz	+	2945231	0.804573900688348	inactive	2945409	2945705	metZWV	+
TSS_4520_storz	+	1166518	0.562552046002437	inactive	1166822	1167361	ycfJ	+
TSS_14994_storz	-	3867682	0.610669125175266	inactive	3866085	3867332	yidR	-
TSS_5785_storz	+	1490054	0.733748738181723	inactive	1490494	1492134	trg	+
TSS_5785_storz	+	1490054	0.733748738181723	inactive	1490143	1490198	sokB	+
TSS_13509_regulondb	+	3490541	1.47089986684334	inactive	3490590	3491771	tsgA	+
TSS_601_storz	+	144560	0.674019759936661	inactive	144577	145017	yadI	+
TSS_9425_storz	+	2496669	0.807991376113317	inactive	2496693	2500009	ypdABC	+
TSS_14009_storz	+	3610962	1.0132842511262	inactive	3610992	3611579	acpT	+
TSS_7395_regulondb	+	1928743	0.635909700600939	inactive	1928905	1930083	purT	+
TSS_13168_storz	-	3433410	0.536088524268662	inactive	3431712	3433183	def-fmt	-
TSS_17078_storz	+	4373588	0.582512072371101	inactive	4373722	4374288	efp	+
TSS_13812_storz	-	3562339	0.570216653520291	inactive	3561747	3562028	yzgL	-
TSS_10427_storz_wanner	-	2756679	0.805138226001463	inactive	2755666	2756622	yfjH	-
TSS_6413_regulondb	-	1667676	0.800598821994749	inactive	1666723	1667616	ynfL	-
TSS_16000_regulondb	+	4105230	0.613902404221389	inactive	4105575	4106537	pfkA	+
TSS_603_regulondb	+	144965	0.638910695561787	inactive	145081	146310	yadE	+
TSS_8538_wanner	-	2246659	0.649374691148954	inactive	2245085	2246554	lysP	-
TSS_10420_storz_wanner_regulondb	+	2753608	17.0578222301101	active	2753615	2753977	ssrA	+
TSS_14579_wanner_regulondb	-	3759998	0.730781388491986	inactive	3759370	3759978	yibF	-
TSS_6535_storz	-	1702470	0.576490000376153	inactive	1701292	1702332	ydgJ	-
TSS_16649_storz	+	4250505	1.20570042716778	inactive	4250529	4251911	ubiCA	+
TSS_15779_storz	+	4047706	0.606865901120107	inactive	4047922	4048030	spf	+
TSS_16075_storz_regulondb	-	4120371	1.07375373378592	inactive	4118439	4120310	hslVU	-
TSS_4096_storz	-	1055446	0.596571658322493	inactive	1052657	1055401	torS	-
TSS_16100_storz_regulondb	-	4126489	2.11153096699447	active	4126101	4126418	metJ	-
TSS_7190_storz_regulondb	-	1878824	1.60715591270049	inactive	1878145	1878783	leuE	-
TSS_8507_storz_wanner_regulondb	-	2238588	2.55372316738955	active	2234765	2238370	mglBAC	-
TSS_7366_regulondb	+	1923233	0.658820348405888	inactive	1923464	1924806	yobB-exoX	+
TSS_12526_storz	-	3304311	0.574920388726249	inactive	3302595	3303839	mtr	-
TSS_7314_storz_regulondb	-	1910642	1.38128040949812	inactive	1909719	1910600	htpX	-
TSS_186_regulondb	-	42037	0.767378005276736	inactive	34781	41931	caiTABCDE	-
TSS_14983_wanner	-	3865540	1.89333894731093	active	3864492	3865445	ibpAB	-
TSS_12344_regulondb	+	3252291	0.591428109510177	inactive	3252341	3253229	yhaKL	+
TSS_13992_storz	-	3607168	0.536876866892962	inactive	3606774	3607019	tusA	-
TSS_12252_wanner	-	3233942	0.844403542605163	inactive	3232761	3233897	rlmG	-
TSS_5146_regulondb	+	1306785	1.53692238967487	inactive	1306812	1306985	yciY	+
TSS_5145_wanner	-	1306695	1.53692238967487	inactive	1304845	1306669	clsA-yciU	-
TSS_16332_storz_regulondb	+	4174998	0.951433631822851	inactive	4175381	4176311	secE-nusG	+
TSS_12954_regulondb	-	3384232	0.573771451999855	inactive	3383879	3384151	yhcO	-
TSS_14750_regulondb	+	3806279	0.613902404221389	inactive	3806563	3808327	waaA-coaD	+
TSS_9105_regulondb	+	2411447	0.726539161910639	inactive	2411492	2414913	ackA-pta	+
TSS_9757_storz	-	2591991	0.617616984183939	inactive	2591094	2591792	ypfH	-
TSS_15962_storz	+	4095703	0.667395045098275	inactive	4095759	4097517	rhaSR	+
TSS_9762_wanner_regulondb	-	2594785	1.00579812158422	inactive	2591866	2594759	ypfJ-tmcA	-
TSS_6989_storz_wanner	-	1823218	0.605637532467127	inactive	1822386	1822961	ves	-
TSS_11091_storz	-	2939742	1.03013363735407	inactive	2939258	2939653	ygdD	-
TSS_11091_storz	-	2939742	1.03013363735407	inactive	2938165	2939265	rlmM	-
TSS_3118_regulondb	-	806532	1.07375373378592	inactive	805221	806504	ybhC	-
TSS_16668_storz	+	4256835	0.657588154922486	inactive	4257260	4257469	yjbJ	+
TSS_8230_storz_regulondb	+	2151670	3.60797268358465	active	2152040	2163022	mdtABCD-baeSR	+
TSS_8230_storz_regulondb	+	2151670	3.60797268358465	active	2151670	2151805	sibB	+
TSS_16440_storz_wanner_regulondb	-	4194323	1.99122737336052	active	4188758	4194122	thiCEFSGH	-
TSS_1178_storz	-	274637	0.525115318627282	inactive	273325	274341	insH-1	-
TSS_11504_regulondb	+	3053573	4.28308537666277	active	3053634	3053963	zapA	+
TSS_11504_regulondb	+	3053573	4.28308537666277	active	3054005	3054811	ssrS-fau	+
TSS_8325_storz	-	2181720	0.542957830366259	inactive	2180855	2181673	yegX	-
TSS_12688_storz	+	3332647	0.677397485143335	inactive	3332931	3333209	sfsB	+
TSS_5742_storz_regulondb	+	1480853	0.771854395126441	inactive	1481142	1484987	hrpA	+
TSS_8598_regulondb	+	2263450	0.986382232383729	inactive	2263472	2264044	yeiP	+
TSS_5300_storz_regulondb	+	1338159	0.844403542605163	inactive	1338267	1341008	lapAB-pyrF-yciH	+
TSS_4868_storz	-	1255545	6.69544189005137	active	1252308	1255175	ycgV	-
TSS_11197_regulondb	+	2968414	1.22780480844278	inactive	2968442	2969155	ygdQ	+
TSS_16069_regulondb	-	4118861	0.608613590184988	inactive	4116868	4118372	menA-rraA	-
TSS_8234_storz_regulondb	+	2152003	0.824883785752352	inactive	2152040	2163022	mdtABCD-baeSR	+
TSS_6315_regulondb	+	1646460	1.82618826655351	active	1646532	1647065	ydfABC	+
TSS_6846_storz	+	1787188	0.69163783754307	inactive	1787637	1787828	ydiE	+
TSS_15324_wanner	-	3946339	0.672710145549789	inactive	3945151	3945990	hdfR	-
TSS_1719_regulondb	-	432258	0.586647214089791	inactive	431536	432075	yajI	-
TSS_10052_regulondb	-	2666075	0.703322857257556	inactive	2664729	2665868	hcaT	-
TSS_15990_wanner	-	4103983	0.635909700600939	inactive	4101625	4103693	cpxRA	-
TSS_9833_storz	-	2616966	0.635909700600939	inactive	2616097	2616798	hda	-
TSS_16184_storz	-	4148613	0.613902404221389	inactive	4146555	4148288	eptC	-
TSS_5163_regulondb	-	1310438	1.10785786880977	inactive	1309872	1310270	yciA	-
TSS_656_storz	-	157309	0.733411380838168	inactive	156299	156883	yadN	-
TSS_4579_regulondb	+	1185028	0.685708589185245	inactive	1185067	1186293	pepT	+
TSS_17273_wanner	+	4414916	0.597687834635713	inactive	4414975	4415724	yjfP	+
TSS_1101_storz_wanner_regulondb	-	255807	1.00579812158422	inactive	254259	255716	pepD	-
TSS_68_storz	-	12132	0.66525276244034	inactive	11382	11786	yaaI	-
TSS_10806_wanner	-	2868640	0.826599580162003	inactive	2866915	2868296	umpG-pcm	-
TSS_14135_storz	+	3648814	0.737190138683034	inactive	3649314	3650096	yhiS_1	+
TSS_5682_storz	+	1463104	0.613902404221389	inactive	1463416	1465974	ydbA_1	+
TSS_6935_regulondb	-	1807363	0.89403285982358	inactive	1806721	1807257	yniB	-
TSS_4972_regulondb	+	1279030	0.671886201178313	inactive	1279087	1285749	narGHJI	+
TSS_11786_storz	-	3111645	0.595001430650506	inactive	3111089	3111499	yghG	-
TSS_14810_regulondb	+	3819407	1.82208615237188	active	3819451	3820074	gmk	+
TSS_2141_regulondb	+	557389	0.585161117667859	inactive	557435	557977	sfmA	+
TSS_2163_wanner	-	565303	0.493191116191864	inactive	564038	565201	intD	-
TSS_1958_wanner	-	490111	0.650471617501305	inactive	489334	490036	priC-ybaM	-
TSS_13759_storz_wanner	+	3550761	0.715835822523949	inactive	3551107	3553812	malT	+
TSS_16150_storz	-	4140635	0.719460697029697	inactive	4135955	4140244	ptsA-fsaB-gldA	-
TSS_947_wanner	-	220072	1.19970731189958	inactive	218887	219995	rcsF-trmO	-
TSS_15688_regulondb	+	4024226	0.644482429712157	inactive	4024550	4025251	fre	+
TSS_7504_storz	-	1948904	0.799485159731589	inactive	1946774	1948546	aspS	-
TSS_4325_wanner	-	1120729	2.64379438913644	active	1120465	1120710	dinI	-
TSS_12499_regulondb	+	3297961	0.838522768472323	inactive	3297988	3298290	yhbQ	+
TSS_14085_storz_regulondb	+	3635635	1.48117995212484	inactive	3635665	3637164	pitA	+
TSS_11385_storz	-	3018657	0.601080439578705	inactive	3014082	3018511	ygfK-ssnA	-
TSS_1854_storz	+	466163	0.67552283408413	inactive	466636	467454	cof	+
TSS_9137_storz	-	2417416	0.630262425156558	inactive	2416656	2417198	yfcD	-
TSS_7204_regulondb	-	1886085	1.05201344398127	inactive	1884888	1886015	rnd	-
TSS_13686_regulondb	-	3534661	0.93784250938251	inactive	3532538	3534606	ompR-envZ	-
TSS_4796_storz	+	1236731	1.16618437858004	inactive	1236794	1239172	dadAX	+
TSS_17425_regulondb	-	4456038	0.734542024446567	inactive	4455337	4455888	yjgA	-
TSS_4207_storz	-	1094979	0.650164238064515	inactive	1093498	1094669	insEF-4E-4F-4	-
TSS_4809_wanner	+	1242352	1.02278702463464	inactive	1242403	1243014	emtA	+
TSS_1249_regulondb	-	294880	3.68456537253134	active	294363	294803	yagN	-
TSS_15927_storz	+	4084808	0.697997474321001	inactive	4085025	4086080	yiiG	+
TSS_3781_storz	-	972960	0.752146806250796	inactive	971845	972624	elyC	-
TSS_17418_storz	-	4453788	0.500459386264476	inactive	4452634	4453632	fbp	-
TSS_17052_wanner	-	4368477	0.885350480762306	inactive	4367179	4368435	yjeH	-
TSS_11119_storz	+	2945017	0.642719650704402	inactive	2945409	2945705	metZWV	+
TSS_7827_regulondb	+	2042787	0.663277748662688	inactive	2042935	2050038	yeeJ	+
TSS_1301_regulondb	-	309300	0.652415172885602	inactive	303719	309250	ecpBCDE	-
TSS_14509_storz	-	3735643	0.679077858883904	inactive	3734376	3735200	bax	-
TSS_11950_storz	-	3159379	0.652415172885602	inactive	3156949	3159168	ygiQ	-
TSS_13858_storz	-	3571951	0.594646019889282	inactive	3562157	3571525	glgBXCAP	-
TSS_10637_storz	-	2814572	0.583092189290018	inactive	2812905	2814461	gshA	-
TSS_17080_storz_regulondb	+	4373678	2.02794091328341	active	4373722	4374288	efp	+
TSS_609_storz	+	146640	0.714354612485106	inactive	146968	147870	yadD	+
TSS_12056_regulondb	-	3180583	0.637425500752749	inactive	3179641	3180456	ygiD	-
TSS_15521_storz	+	3992100	0.646424297760058	inactive	3992545	3995922	yifL-dapF-yigA-xerC-yigB	+
TSS_2407_storz	-	632856	0.663969003484866	inactive	631612	632700	ybdH	-
TSS_515_storz	+	121705	0.640220768883923	inactive	122092	129336	pdhR-aceEF-lpd	+
TSS_55_storz	+	10584	0.622896529365732	inactive	10830	11315	htgA	+
TSS_9677_regulondb	+	2560075	0.658680298690013	inactive	2560133	2561139	yffOP	+
TSS_9100_storz_regulondb	-	2410810	0.652415172885602	inactive	2409461	2410616	yfbUT	-
TSS_1075_regulondb	+	247544	0.607448438618752	inactive	247637	248134	rayT	+
TSS_4315_regulondb	-	1118734	0.67552283408413	inactive	1117124	1118269	yceJI	-
TSS_15424_storz	-	3965750	0.4829121160269	inactive	3964254	3965699	rhoL-rho	-
TSS_13150_storz	-	3430687	0.515263397449237	inactive	3430013	3430486	smg	-
TSS_13049_storz	+	3407874	0.66786715508745	inactive	3408302	3409589	dusB-fis	+
TSS_10313_storz	-	2734477	0.621500409928775	inactive	2732325	2734033	rluD-yfiH	-
TSS_7625_storz	-	1986182	0.683915030609586	inactive	1985531	1985782	yecJ	-
TSS_7625_storz	-	1986182	0.683915030609586	inactive	1985863	1986022	isrB	-
TSS_7625_storz	-	1986182	0.683915030609586	inactive	1985897	1985983	azuC	-
TSS_13271_regulondb	-	3446241	19.7496836350301	active	3440640	3446171	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	-
